2000,[1]道祖神の詩：福島　弘和,[2]をどり唄：柏崎　真一,[3]胎動の時代－吹奏楽のために：池辺晋一郎,[4]吹奏楽の為の序曲：坂田　雅弘,,,,,
2001,[1]式典のための行進曲「栄光をたたえて」：内藤　淳一,[2]平和への行列：戸田　　顕,[3]あの丘をこえて：星谷　丈生,[4]行進曲「ＳＬが行く」：若杉　海一,,,,,
2002,[1]吹奏楽のためのラメント：高　　昌帥,[2]追想～ある遠い日の～：岡田　　宏,[3]ミニシンフォニー　変ホ長調：原　　　博,[4]吹奏楽のためのラプソディア：足立　　正,,,,,
2003,[1]ウィナーズ－吹奏楽のための行進曲：諏訪　雅彦,[2]イギリス民謡による行進曲：高橋　宏樹,[3]行進曲「虹色の風」：松尾　善雄,[4]マーチ「ベスト・フレンド」：松浦　伸吾,[5]マーチ「列車で行こう」：川村　昌樹,,,,
2004,[1]吹奏楽のための「風之舞」：福田　洋介,[2]エアーズ：田嶋　　勉,[3]祈りの旅：北爪　道夫,[4]鳥たちの神話：藤井　　修,[5]サード：田渕　浩二,,,,
2005,[1]パクス・ロマーナ：松尾　善雄,[2]マーチ「春風」：南　　俊明,[3]ストリート・パフォーマーズ・マーチ：高橋　宏樹,[4]サンライズマーチ：佐藤　俊介,[5]リベラメンテ　吹奏楽による：出塚　健博,,,,
2006,[1]架空の伝説のための前奏曲：山内　雅弘,[2]吹奏楽のための一章：堀内　俊男,[3]パルセイション：木下　牧子,[4]海へ･･･吹奏楽の為に：三澤　　慶,[5]風の密度：金井　　勇,,,,
2007,[1]ピッコロマーチ：田嶋　　勉,[2]コンサートマーチ「光と風の通り道」：栗栖　健一,[3]憧れの街：南　　俊明,[4]マーチ「ブルースカイ」：高木　登古,[5]ナジム・アラビー：松尾　善雄,,,,
2008,[1]ブライアンの休日：内藤　淳一,[2]マーチ「晴天の風」：糸谷　　良,[3]セリオーソ：浦田健次郎,[4]天馬の道～吹奏楽のために」：片岡　寛晶,[5]火の断章：井澗　昌樹,,,,
2009,[1]16世紀のシャンソンによる変奏曲：諏訪　雅彦,[2]コミカル★パレード：島田　尚美,[3]ネストリアン・モニュメント：平田　智暁,[4]マーチ「青空と太陽」：藤代　敏裕,[5]躍動する魂　～吹奏楽のための：江原　大介,,,,
2010,[1]迷走するサラバンド： 広瀬　正憲,[2]オーディナリー・マーチ：高橋　宏樹,[3]吹奏楽のための民謡「うちなーのてぃだ」：長野　雄行,[4]汐風のマーチ：田嶋　　勉,[5]吹奏楽のためのスケルツォ 第２番：鹿野　草平,,,,
2011,[1]マーチ「ライヴリー　アヴェニュー」：堀田庸元,[2]天国の島：佐藤博昭,[3]シャコンヌ S：新実徳英,[4]南風のマーチ：渡口公康,[5]「薔薇戦争」より戦場にて： 山口哲人,,,,
2012,[1]さくらのうた：福田洋介,[2]よろこびへ歩きだせ：土井康司,[3]吹奏楽のための「じゅげむ」：足立　正,[4]行進曲「希望の空」：和田　信,[5]香り立つ刹那：長生　淳,,,,
2013,[1]勇者のマズルカ：三澤　　慶,[2]祝典行進曲「ライジング・サン」：白岩　優拓,[3]復興への序曲「夢の明日に」：岩井　直溥,[4]エンターテインメント・マーチ：川北　栄樹,[5]流沙：広瀬　正憲,,,,
2014,[1]最果ての城のゼビア：中西　英介,[2]行進曲「勇気のトビラ」：高橋　宏,[3]「斎太郎節」の主題による幻想：合田佳代子,[4]コンサートマーチ「青葉の街で」：小林　武夫,[5]きみは林檎の樹を植える：谷地村博人,,,,
2015,[1]天空の旅 －吹奏楽のための譚詩－：石原勇太郎,[2]マーチ「春の道を歩こう」：佐藤　邦宏,[3]秘儀III －旋回舞踊のためのヘテロフォニー：西村　　朗,[4]マーチ「プロヴァンスの風」：田坂　直樹,[5]暁闇の宴：朴　　守賢,,,,
2016,[1]マーチ・スカイブルー・ドリーム：矢藤　　学,[2]スペインの市場で：山本　雅一,[3]ある英雄の記憶：西村　　友,[4]マーチ「クローバーグラウンド」：鹿島　康奨,[5]焔：島田　尚美,,,,
2017,[1]スケルツァンド：江原　大介,[2]マーチ・シャイニング・ロード：木内　　涼,[3]インテルメッツォ：保科　　洋,[4]マーチ「春風の通り道」：西山　知宏,[5]メタモルフォーゼ～吹奏楽のために～：川合　清裕,,,,
2018,[1]古き森の戦記：塩見　康史,[2]マーチ・ワンダフル・ヴォヤージュ：一ノ瀬季生,[3]吹奏楽のための「ワルツ」：高　　昌帥,[4]コンサート・マーチ「虹色の未来へ」：郷間　幹男,[5]エレウシスの祭儀：咲間　貴裕,,,,
2019,[1]「あんたがたどこさ」の主題による幻想曲：林　　大地,[2]マーチ「エイプリル・リーフ」：近藤　悠介,[3]行進曲「春」：福島　弘和,[4]行進曲「道標の先に」：岡田　康汰,[5]ビスマス・サイケデリアＩ：日景　貴文,,,,
2020,コロナウイルス感染拡大防止のため中止,,,,,,,,
2021,[1]トイズ・パレード：平山　雄一,[2]龍潭譚：佐藤　信人,[3]僕らのインベンション：宮川　彬良,[4]吹奏楽のための「エール・マーチ」：宮下　秀樹,"[5]吹奏楽のための「幻想曲」
　－アルノルト・シェーンベルク讃：尾方　凜斗",,,,
2022,[1]やまがたふぁんたじぃ～吹奏楽のための～：杉浦　邦弘,[2]マーチ「ブルー・スプリング」：鈴木　雅史,[3]ジェネシス：鈴木　英史,[4]サーカスハットマーチ：奥本　伴在,[5]憂いの記憶―吹奏楽のための：前川　　保,,,,
2023,[1]行進曲「煌めきの朝」：牧野　圭吾,[2]ポロネーズとアリア：水口　　透,[3]レトロ：天野　正道,[4]マーチ「ペガサスの夢」：宮下　秀樹,,
